Age_group,Education_gen,Occupation_gen,Relationship,Sex,Region
31-40,HigherEd,Clerical, Not-in-family, Male,North America
51-60,HigherEd,Management, Husband, Male,North America
31-40,HighSchool,Manual Labor, Not-in-family, Male,North America
51-60,Dropout,Manual Labor, Husband, Male,North America
21-30,HigherEd,Professional, Wife, Female,Latin America
31-40,HigherEd,Management, Wife, Female,North America
41-50,Dropout,Service, Not-in-family, Female,Latin America
51-60,HighSchool,Management, Husband, Male,North America
31-40,HigherEd,Professional, Not-in-family, Female,North America
41-50,HigherEd,Management, Husband, Male,North America
31-40,HighSchool,Management, Husband, Male,North America
31-40,HigherEd,Professional, Husband, Male,Asia
21-30,HigherEd,Clerical, Own-child, Female,North America
31-40,Associate,Sales, Not-in-family, Male,North America
41-50,Associate,Skilled Trade, Husband, Male,North America
31-40,Dropout,Transport, Husband, Male,Latin America
21-30,HighSchool,Agriculture, Own-child, Male,North America
31-40,HighSchool,Manufacturing, Unmarried, Male,North America
31-40,Dropout,Sales, Husband, Male,North America
41-50,HigherEd,Management, Unmarried, Female,North America
41-50,HigherEd,Professional, Husband, Male,North America
51-60,HighSchool,Service, Unmarried, Female,North America
31-40,Dropout,Agriculture, Husband, Male,North America
41-50,Dropout,Transport, Husband, Male,North America
51-60,HighSchool,Tech-Support, Unmarried, Female,North America
51-60,HigherEd,Tech-Support, Husband, Male,North America
0-20,HighSchool,Skilled Trade, Own-child, Male,North America
51-60,HighSchool,, Husband, Male,South
31-40,HighSchool,Management, Not-in-family, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,Associate,Protective-Serv, Not-in-family, Male,North America
21-30,HighSchool,Sales, Own-child, Male,North America
41-50,HigherEd,Management, Own-child, Male,North America
31-40,HighSchool,Clerical, Own-child, Male,North America
21-30,HighSchool,Service, Husband, Male,North America
41-50,Dropout,Manufacturing, Unmarried, Male,Puerto-Rico
21-30,HighSchool,Manufacturing, Own-child, Male,North America
0-20,HighSchool,Clerical, Wife, Female,North America
31-40,HighSchool,Sales, Husband, Male,
41-50,Associate,Professional, Husband, Male,North America
31-40,Dropout,Manufacturing, Husband, Male,North America
51-60,HigherEd,Professional, Husband, Male,North America
21-30,HigherEd,Tech-Support, Husband, Male,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
21-30,HighSchool,Manual Labor, Not-in-family, Male,North America
51-60,HigherEd,Professional, Husband, Male,North America
51-60,HighSchool,Manufacturing, Husband, Male,North America
41-50,HigherEd,Management, Unmarried, Female,North America
41-50,Associate,Skilled Trade, Husband, Male,North America
21-30,Associate,Professional, Not-in-family, Male,North America
21-30,HighSchool,Management, Wife, Female,North America
0-20,HighSchool,Service, Own-child, Female,
41-50,Prof-School,Professional, Wife, Female,Honduras
51-60,HigherEd,Management, Not-in-family, Male,North America
41-50,HighSchool,Management, Not-in-family, Male,North America
41-50,HighSchool,Tech-Support, Husband, Male,North America
41-50,5Th-6Th,Manufacturing, Husband, Male,Latin America
31-40,Associate,Service, Husband, Male,Puerto-Rico
41-50,HighSchool,Clerical, Husband, Male,North America
31-40,HighSchool,Manufacturing, Husband, Male,North America
31-40,HigherEd,Sales, Husband, Male,North America
31-40,Dropout,, Not-in-family, Male,
41-50,HighSchool,Transport, Husband, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
21-30,HighSchool,Tech-Support, Not-in-family, Male,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
51-60,HighSchool,Clerical, Wife, Female,North America
41-50,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,, Own-child, Male,North America
0-20,HighSchool,Professional, Own-child, Male,North America
31-40,HigherEd,Sales, Own-child, Female,North America
21-30,HigherEd,Sales, Husband, Male,North America
21-30,HighSchool,Manufacturing, Not-in-family, Male,North America
60+,HighSchool,Professional, Other-relative, Male,North America
21-30,HighSchool,Service, Own-child, Male,Latin America
41-50,Associate,Clerical, Husband, Male,North America
60+,10Th,, Husband, Male,North America
0-20,Dropout,Service, Own-child, Female,North America
31-40,Dropout,Agriculture, Husband, Male,North America
0-20,HighSchool,Sales, Not-in-family, Male,North America
51-60,HigherEd,Service, Husband, Male,Latin America
41-50,HighSchool,Service, Wife, Female,North America
51-60,HighSchool,Sales, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Not-in-family, Female,North America
51-60,HighSchool,Sales, Own-child, Female,North America
41-50,HighSchool,Protective-Serv, Husband, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
31-40,Dropout,Sales, Not-in-family, Male,North America
41-50,HigherEd,Professional, Not-in-family, Female,North America
51-60,Associate,Professional, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Unmarried, Female,North America
21-30,HighSchool,Manufacturing, Unmarried, Female,North America
31-40,HighSchool,Sales, Wife, Female,
31-40,HigherEd,Protective-Serv, Husband, Male,North America
21-30,HighSchool,Manual Labor, Not-in-family, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
31-40,HighSchool,Sales, Husband, Male,North America
41-50,Associate,Management, Unmarried, Female,England
31-40,HighSchool,Service, Own-child, Male,North America
60+,HigherEd,Management, Husband, Male,North America
41-50,HigherEd,Management, Husband, Male,North America
41-50,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Tech-Support, Own-child, Female,North America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
0-20,10Th,, Own-child, Female,North America
31-40,Dropout,Manual Labor, Own-child, Male,North America
31-40,HighSchool,Clerical, Not-in-family, Female,North America
41-50,HighSchool,Manual Labor, Husband, Male,North America
21-30,HigherEd,Sales, Other-relative, Male,North America
31-40,Prof-School,Professional, Husband, Male,North America
51-60,HighSchool,Service, Husband, Male,Canada
